t,vx_y0.2500,vx_y0.5000,vx_y0.7500,vx_y1.0000,vx_y1.2500,A_drv,f_drive,H,B0y,rho0,yd_bottom
2.9666338254e+00,1.2078844568e-04,1.3926278810e-03,4.9573951186e-04,-6.8758722033e-04,3.3540993252e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9683616271e+00,1.5341937840e-04,1.4007997827e-03,4.4477074466e-04,-6.6322737614e-04,3.2837680846e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9700894289e+00,1.8604792103e-04,1.4083588764e-03,3.9300175531e-04,-6.3889026684e-04,3.2155744759e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9718172306e+00,2.1866397391e-04,1.4153275550e-03,3.4045275973e-04,-6.1451817151e-04,3.1495716003e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9735450324e+00,2.5125625567e-04,1.4217281533e-03,2.8712219980e-04,-5.9005158930e-04,3.0857713484e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9752728341e+00,2.8381224864e-04,1.4275848950e-03,2.3299176863e-04,-5.6543107089e-04,3.0241419578e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9770006358e+00,3.1631814391e-04,1.4329257923e-03,1.7804522528e-04,-5.4060042608e-04,2.9646069141e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9787284376e+00,3.4875879109e-04,1.4377841297e-03,1.2227782363e-04,-5.1551059831e-04,2.9070449066e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9804562393e+00,3.8111765799e-04,1.4421879394e-03,6.5701134696e-05,-4.9013079900e-04,2.8512906631e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9821840410e+00,4.1337680254e-04,1.4461493540e-03,8.3452990457e-06,-4.6445342623e-04,2.7971363958e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9839118428e+00,4.4551685947e-04,1.4496928483e-03,-4.9746382559e-05,-4.3842790692e-04,2.7443337307e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9856396445e+00,4.7751704493e-04,1.4528503289e-03,-1.0852514892e-04,-4.1131480645e-04,2.6925955916e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9873674463e+00,5.0935518129e-04,1.4556588292e-03,-1.6793865101e-04,-3.8302947052e-04,2.6415964575e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9890952480e+00,5.4100773986e-04,1.4581588266e-03,-2.2793031629e-04,-3.5429160753e-04,2.5909753546e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
2.9908230497e+00,5.7244989756e-04,1.4603634176e-03,-2.8844019047e-04,-3.2484095096e-04,2.5403752303e-04,1.0000000000e-03,2.0000000000e+00,1.0000000000e+00,5.0000000000e-01,1.0000000000e+00,3.9062500000e-03
