zams_mass,M_star,nz,R_star,M_He,xi25,M4,mu4,M_O,M_Ne,M_Mg,M_Si,MgNe,SiNe,SiO,m_O_inner,m_O_outer
16.17,13.04,4483,68042680017596.51,4.907086107017836,0.20881168955037116,1.6737292451845895,0.09105221391098722,1.0528997498639419,0.2695842239470438,0.048134754343486394,0.0028781517202716295,0.17855182190832436,0.010676261682274864,0.0027335477291580237,2.153048338688528,3.6910244911269854
16.18,13.32,4494,67062603085523.75,4.846702552750474,0.11961918904124338,1.6150639339621087,0.04901808412040019,1.3648310054997146,0.034306623389928334,0.03951524244378235,0.29505207682873547,1.1518254651486088,8.600440605161866,0.21618213217592175,1.6162022730466863,3.641513516618516
16.19,13.32,4500,66888310212571.11,4.853591065002761,0.1994041601619357,1.649067230832533,0.08767711898342749,1.0633041862968498,0.2586789911167571,0.04454402985554192,0.034524931106014324,0.17219809642537448,0.13346631265633468,0.03246947726807479,2.0533382700445904,3.6497434046866473
16.2,13.42,4506,66821889880997.336,4.833369219099515,0.1199404448645592,1.6077966668382868,0.04965963942974911,1.3628675249785127,0.03315300432864237,0.04031869380111927,0.29748361075683655,1.2161399733624183,8.973051365357772,0.21827771614231306,1.6083790068645905,3.631493048925461
16.21,12.87,4486,68960598537892.94,4.96381739859944,0.2135394019596982,1.6891965438674557,0.092822928398626,1.0803718806614173,0.2765493537874577,0.04922042118226191,0.002941515761956711,0.17798060457624615,0.010636494794406266,0.002722688191547412,2.1668380014156043,3.74337853855688
16.22,13.15,4495,67832043245211.06,4.910009161275624,0.12197887813436467,1.6271167704898843,0.04926418844853142,1.3952457846576716,0.039375171701501614,0.03841932811140681,0.298239256071862,0.975724713092277,7.574297283902088,0.21375392017044229,1.6277754996519875,3.6991142951215257
16.23,13.27,4507,67373912924806.54,4.885162709452902,0.16798234675487142,1.638714047227363,0.07005390091520607,1.2787593633988044,0.12881860653103042,0.028165783559915746,0.24534441282123554,0.21864685792212046,1.9045727898177183,0.1918612835562248,1.6394071581380525,3.679081456092595
16.24,13.45,4516,66791654989104.79,4.853079099347747,0.19819841225950302,1.6578209738342737,0.08818829288872897,1.0485743265343541,0.2646299892775286,0.04706389798172213,0.0028477195098782493,0.17784793821067738,0.010761136776874241,0.002715801291159068,2.1248950635621973,3.6537411547864806
16.25,13.33,4512,67223413881782.28,4.883312150153843,0.16692222726515632,1.6472480833834988,0.06951210325572459,1.3034811877566082,0.10795913205764678,0.0260920832606241,0.2519001190475328,0.2416848187209559,2.3332914432196996,0.19325182550664377,1.6478341964714494,3.680830405771545
16.26,13.24,4510,67691511080576.69,4.910039615996507,0.20671594611345595,1.669911386527615,0.09032832696564408,1.0592455697484355,0.2694844812820905,0.04759901032177219,0.002845566338283715,0.17662987529121046,0.01055929575145011,0.002686408534103683,2.1493884215994963,3.6986763957913507
16.27,12.94,4499,68736150581055.23,4.977823744700237,0.21043011499318878,1.6836656150586997,0.09187188225626287,1.0954649469370508,0.27608679822057913,0.04919705268097732,0.0029747686820244847,0.17819415125264848,0.010774758884514998,0.002715530688902477,2.160029305112066,3.761569659378956
