mode,rho_cut,y,rho,N2
rescaled_domain,0.05,0.017395544861325718,0.9992812480623557,0.08266211898983356
rescaled_domain,0.05,0.02198210923282118,0.9988525453265338,0.10445345661622701
rescaled_domain,0.05,0.02709137914968268,0.9982576418560923,0.12873653829193277
rescaled_domain,0.05,0.03271776770026952,0.9974597602502828,0.15547374728392524
rescaled_domain,0.05,0.03885512251130763,0.9964191596777746,0.18465107230201103
rescaled_domain,0.05,0.045496732475418855,0.995093401289903,0.21623259596112257
rescaled_domain,0.05,0.05263533508961826,0.9934380062491383,0.2501808298702735
rescaled_domain,0.05,0.06026312439675552,0.9914065311389711,0.2864711533269155
rescaled_domain,0.05,0.06837175952121305,0.9889511717991138,0.32506618342291044
rescaled_domain,0.05,0.07695237378953235,0.9860232283273118,0.365927617155407
rescaled_domain,0.05,0.08599558442598998,0.982573655640872,0.4090203865705446
rescaled_domain,0.05,0.09549150281252633,0.9785535202342135,0.4543062906445504
rescaled_domain,0.05,0.10542974530180327,0.9739147469221441,0.5017419572259716
rescaled_domain,0.05,0.11579944457157043,0.9686106627687998,0.5512874958249998
rescaled_domain,0.05,0.1265892615079232,0.9625966510599903,0.6029043091131329
rescaled_domain,0.05,0.13778739760445552,0.9558307561183182,0.6565500707497444
rescaled_domain,0.05,0.1493816078637557,0.9482744712590241,0.7121840328581516
rescaled_domain,0.05,0.16135921418712956,0.9398932169785398,0.7697610008710756
rescaled_domain,0.05,0.17370711923791565,0.9306572698879098,0.829240232416024
rescaled_domain,0.05,0.18641182076323148,0.9205419561027377,0.8905860528239484
rescaled_domain,0.05,0.19945942635848746,0.9095285384705959,0.9537549946403974
rescaled_domain,0.05,0.2128356686585282,0.8976045742665175,1.0187089666624451
rescaled_domain,0.05,0.22652592093878665,0.8847644001204644,1.0854096504577162
rescaled_domain,0.05,0.2405152131093924,0.871009468294862,1.1538221715444557
rescaled_domain,0.05,0.2547882480847459,0.8563485790396415,1.223914394372352
rescaled_domain,0.05,0.26932941851065617,0.8407980498743947,1.2956557676022158
rescaled_domain,0.05,0.2841228238307536,0.8243817747165569,1.3690176684064683
rescaled_domain,0.05,0.29915228767351537,0.8071311721771517,1.443975290187547
rescaled_domain,0.05,0.31440137554088965,0.7890849770303526,1.5205083425200092
rescaled_domain,0.05,0.32985341277917846,0.7702889524795055,1.5986010456370465
rescaled_domain,0.05,0.34549150281252644,0.7507954637775036,1.6782393709466086
rescaled_domain,0.05,0.3612985456190778,0.7306630508767646,1.7594169761139076
rescaled_domain,0.05,0.37725725642960045,0.7099556572384434,1.8421332888851207
rescaled_domain,0.05,0.39335018462812665,0.6887420922207702,1.9263907387375443
rescaled_domain,0.05,0.4095597328339451,0.6670951593726084,2.012201314127817
rescaled_domain,0.05,0.42586817614407896,0.6450908583675763,2.0995826355926277
rescaled_domain,0.05,0.44225768151520706,0.622807513375254,2.1885596669592493
rescaled_domain,0.05,0.4587103272638339,0.6003248828255519,2.2791652907278466
rescaled_domain,0.05,0.4752081226633889,0.5777232569613623,2.3714410473205487
rescaled_domain,0.05,0.49173302761682075,0.5550825700546161,2.465437076911293
rescaled_domain,0.05,0.5082669723831792,0.5324815504189598,2.561212410589261
rescaled_domain,0.05,0.5247918773366113,0.5099969082736563,2.6588363640672283
rescaled_domain,0.05,0.5412896727361662,0.48770257194224287,2.758388084449426
rescaled_domain,0.05,0.5577423184847932,0.4656690224487046,2.8599562170557356
rescaled_domain,0.05,0.574131823855921,0.4439626896169518,2.963640251225295
rescaled_domain,0.05,0.5904402671660549,0.4226454368597486,3.069550828266716
rescaled_domain,0.05,0.6066498153718736,0.4017741378954274,3.177809304498996
rescaled_domain,0.05,0.6227427435703996,0.3814003584017484,3.288547506256489
rescaled_domain,0.05,0.6387014543809224,0.3615701248827971,3.40190526325431
rescaled_domain,0.05,0.6545084971874737,0.34232381942056245,3.518038147558153
rescaled_domain,0.05,0.6701465872208214,0.32369603189473783,3.637106791330574
rescaled_domain,0.05,0.6855986244591104,0.3057157549583129,3.7592787932274008
rescaled_domain,0.05,0.7008477123264848,0.2884063411833428,3.884736863765073
rescaled_domain,0.05,0.7158771761692464,0.2717857651156303,4.0136629471617145
rescaled_domain,0.05,0.7306705814893439,0.25586684114416547,4.146243978602434
rescaled_domain,0.05,0.745211751915254,0.2406575135169811,4.282670336564027
rescaled_domain,0.05,0.7594847868906076,0.22616115923565758,4.423133039011477
rescaled_domain,0.05,0.7734740790612136,0.2123769526404725,4.567816070346095
rescaled_domain,0.05,0.7871643313414718,0.19930024691067572,4.716891533784003
rescaled_domain,0.05,0.8005405736415125,0.18692296799504216,4.87051806985591
rescaled_domain,0.05,0.8135881792367685,0.17523398958663233,5.028838739497164
rescaled_domain,0.05,0.8262928807620843,0.16421951666700252,5.191964278578703
rescaled_domain,0.05,0.8386407858128706,0.15386350126817397,5.359982296387457
rescaled_domain,0.05,0.8506183921362442,0.14414793158571307,5.532908808017917
rescaled_domain,0.05,0.8622126023955445,0.13505337367782438,5.710710360090606
rescaled_domain,0.05,0.873410738492077,0.12655907623120355,5.893306130642276
rescaled_domain,0.05,0.8842005554284296,0.11864345093915447,6.080512436325473
rescaled_domain,0.05,0.8945702546981968,0.11128426953922774,6.27205773190623
rescaled_domain,0.05,0.9045084971874737,0.10445900008839884,6.467540633830338
rescaled_domain,0.05,0.91400441557401,0.09814502352528753,6.666437755569897
rescaled_domain,0.05,0.9230476262104677,0.09231986015047536,6.868101567342583
rescaled_domain,0.05,0.9316282404787869,0.08696133035597499,7.0717085236801775
rescaled_domain,0.05,0.9397368756032445,0.08204780676787189,7.276247074972634
rescaled_domain,0.05,0.9473646649103817,0.07755832028269864,7.480549048176216
rescaled_domain,0.05,0.9545032675245813,0.07347271266970051,7.683264126191183
rescaled_domain,0.05,0.9611448774886924,0.06977175066560128,7.882786071361373
rescaled_domain,0.05,0.9672822322997304,0.06643730866879446,8.077412912089194
rescaled_domain,0.05,0.9729086208503173,0.0634523129601856,8.265301890401862
rescaled_domain,0.05,0.9780178907671788,0.06080096393081937,8.444329096026456
rescaled_domain,0.05,0.9826044551386743,0.05846878386349703,8.612456027441414
rescaled_domain,0.05,0.9866632986240029,0.05644258878502135,8.767428338263514
rescaled_domain,0.05,0.9901899829374047,0.05471071228564735,8.907124572468874
rescaled_domain,0.05,0.9931806517013612,0.05326285682761587,9.029426735068496
rescaled_domain,0.05,0.9956320346634876,0.05209031802219084,9.132486202166609
rescaled_domain,0.05,0.9975414512725057,0.051185853202344714,9.21463736616323
rescaled_domain,0.05,0.9989068136093873,0.050543847067345535,9.274549073214938
rescaled_domain,0.05,0.999726628670463,0.05016024905373627,9.311057528705915
rescaled_domain,0.05,1.0,0.05003265102119971,9.323299847123323
rescaled_domain,0.1,0.0,1.0,0.00012330776036151292
rescaled_domain,0.1,0.0002733713295369755,0.9999998242395557,0.0011625657260575142
